,age,state,edss-1,blood-1,blood-2,blood-3,thyroid-1,thyroid-2,thyroid-3,thyroid-4,thyroid-5,thyroid-6,thyroid-7,ana18-1,aqp4igg-1,vitd-1,vitd-2,t_b-1,t_b-2,t_b-3,t_b-4,t_b-5,t_b-6,t_b-7,t_b-8,t_b-9,t_b-10,ig3-1,ig3-2,ig3-3,il_6-1,event
t_b-4,0.1645957572089741,-0.06694128905797014,-0.0960299926070104,-0.03058569393073656,-0.040397925019981136,-0.014458728424451532,0.09617570276471567,-0.04385879164135554,0.16204183860533578,0.0466767614202241,-0.06610574033671796,-0.051640627621431505,-0.01647693079560535,-0.12868962239789547,-0.04877998973183769,0.07778254445414885,0.07143761741262697,-0.25164546218231915,-0.254343536273091,0.7988355419717437,1.0,-0.27530867461191705,-0.6843961228328287,-0.2730888992984175,-0.20414220985882506,-0.21586123903194906,-0.4042780839911009,-0.011365658741643376,-0.013528573024118267,-0.03256200658849362,0.04682667749978661,-0.018515934659576357
t_b-5,-0.1659413337223254,0.014113092489012111,0.04974910221705744,0.24869913713873282,0.42860020101275775,0.14072845204316375,0.15243412811975313,0.19542133247121304,-0.014663576718890651,-0.03931806751816473,0.06801117552777014,-0.09105001558733082,-0.018311297965746546,-0.09521299558908304,-0.017877344198854967,-0.026445326641287684,-0.05156033996593619,0.5626145278126581,0.06451003957702425,0.17604252018682845,-0.27530867461191705,1.0,0.22974798999426388,0.8841023059486465,0.8044691872461042,-0.0025963640158472305,0.23516625197389923,-0.18521789678855868,0.020024844057376263,0.03974311525258969,-0.008280489566199672,0.008359227308202212
t_b-6,-0.08817168299187146,-0.13925905473137815,0.021238267774521074,-0.039353329207071415,0.021148938566961185,-0.04908789992228303,0.14408120878806233,-0.11044518447040368,0.17415893989774694,-0.051321279886006495,0.12584423842003045,-0.1475240006290596,-0.04680449066901335,0.059073917989836806,-0.03327516195562006,0.008913317088238773,-0.04459291615026611,-0.29155334954186973,-0.47843551258561,-0.5678344334114972,-0.6843961228328287,0.22974798999426385,1.0,0.16227272178709942,0.25226032797876075,0.4577767127472545,0.4097023128720754,-0.05842983491888045,-0.05677199554792679,-0.0381914186284146,-0.007052243977496217,-0.0037030477825622157
t_b-7,-0.07817572818172906,0.03835793878598635,0.07196951614493065,0.22545755257821223,0.38936943651982875,0.12850465706503428,0.11941400386685987,0.18338722399290633,-0.04900131781706887,-0.034337587044877486,0.04585960241310069,-0.03813565857084678,0.012317195498454725,-0.06838365591683,-0.007123279980388861,-0.016889842212672874,-0.03434166556681744,0.601358692970382,0.15267321197900854,0.12941350820219827,-0.2730888992984175,0.8841023059486465,0.16227272178709942,1.0,0.5143520892117149,-0.3302414328426312,0.5225634784250747,-0.19631127049094035,0.04428286524542776,0.02545286883470707,-0.014406363160431066,-0.006585335897192328
t_b-8,-0.19921340972615886,-0.029526395703984798,0.03807755356073525,0.18965016270664423,0.34025482192118006,0.10803740919728257,0.14852569216470135,0.14648791638800837,0.03946915539012972,-0.023713818376958944,0.0888732551681534,-0.095898550854087,-0.04822548915673091,-0.06728196341271284,-0.03366419512631756,-0.04372608456745197,-0.06559529475440361,0.351393548166733,-0.06672667282203555,0.1772766178139101,-0.20414220985882506,0.8044691872461043,0.25226032797876075,0.514352089211715,1.0,0.47563113603850415,-0.1902030995587472,-0.11918569217220347,-0.009487738543170256,0.0435596889834021,0.020744918085383413,0.033449762453441806
t_b-9,-0.11276554375239864,-0.08738128715075771,0.011409385411000358,-0.0412352252893575,-0.042347307520995726,-0.028575058691920115,0.08539690880982179,-0.07441465183559988,0.1453615240606139,-0.031851617079693424,0.1269103622401454,-0.119251560849593,-0.07460871167488282,0.05753191454285533,-0.011682631247582231,-0.031017324981418678,-0.04446572288064017,-0.3021654903543589,-0.3654759258104705,-0.22136105522206742,-0.21586123903194895,-0.0025963640158472127,0.4577767127472545,-0.33024143284263124,0.4756311360385041,1.0,-0.5154345640506397,0.0589091665853785,-0.0729586133816676,-0.005597832077812478,0.05454688222694248,0.030140808425847626
t_b-10,0.0955356396038914,-0.022171073240091595,0.04236918607430093,0.012379077360903644,0.059003141679204,-0.013563828924161622,0.04198547905520191,-0.0022469927220790495,-0.004013249165883442,-0.012666213216546176,-0.008314717690282079,-0.04712221260922046,0.0370520855481477,-0.026324033575883362,-0.020087794966315214,0.037139222945249135,-0.01673571120361964,0.07212541315584409,-0.04139103328246321,-0.29048980662022106,-0.4042780839911009,0.2351662519738992,0.4097023128720754,0.5225634784250747,-0.1902030995587472,-0.5154345640506396,1.0,-0.11698783473495818,0.03571619225813951,-0.024686529515807003,-0.028206644021205696,-0.025801721837676816
ig3-1,-0.0758198326386885,0.07488448368897363,-0.09010881275820873,-0.09536999238505672,-0.13021465766660287,-0.06686887051169427,-0.1854500722495338,-0.10938251309487908,-0.03228173916449009,0.03379011558725625,0.014544593380806336,0.20071785411301726,0.17225538167062554,0.33424969703231633,0.09486510302890043,-0.07221502715810939,0.047920668802431156,-0.0403042376318668,0.07571249602044847,-0.07700620477957124,-0.011365658741643374,-0.18521789678855874,-0.05842983491888045,-0.19631127049094033,-0.11918569217220347,0.05890916658537853,-0.1169878347349582,1.0,0.37949414083283767,0.3116724943210515,-0.0020067003768983677,-0.034068795820072696
ig3-2,0.12349634736159823,0.06925522147998324,0.021995580878986676,-0.011843998621798387,0.03694729353270762,-0.024606555031616774,-0.13608448049818778,-0.08366589309339618,0.0025616698268956743,0.0633885425448491,-0.019569885551011967,0.08187201749384489,0.030265381855924506,0.22442458803790544,0.059766974690235904,-0.07598785960615018,0.00043987958710259083,0.08876535068297199,0.09386259191750851,0.011080173390556941,-0.013528573024118263,0.020024844057376263,-0.05677199554792679,0.04428286524542773,-0.009487738543170246,-0.07295861338166763,0.035716192258139524,0.37949414083283767,1.0,0.14925721648038187,0.07860808698883691,-0.02168946169506941
ig3-3,-0.2089639165090983,0.0688698104987513,0.009738337343447728,0.03050730428281264,0.01756539436919468,0.019434862920416525,-0.023687684842290096,-0.02863943925430663,-0.029139322269589568,0.008264339390206854,-0.023346541879221878,0.00035369181524235095,0.023746301300260328,0.05111123653917255,0.08863126661441484,-0.11527784954956108,0.004953116309882276,0.07083494255375827,0.08158910727610369,-0.009099658010883142,-0.03256200658849365,0.039743115252589716,-0.03819141862841458,0.02545286883470707,0.043559688983402116,-0.005597832077812489,-0.024686529515806993,0.3116724943210515,0.14925721648038187,1.0,-0.04888113616060728,0.0061158082958505415
il_6-1,0.06566286004866612,0.007526550299222855,0.09990117192952326,0.053836288677057496,-0.03210382832821571,0.07654473962949189,-0.07495476053822492,-0.05747896877759611,-0.041846279390799275,-0.03956683538014466,0.10427817676678923,0.03761416401006904,0.0204644871785892,0.1250308635022092,0.012353134158666491,-0.07007573371933801,-0.07756262089568064,-0.026007779440672726,-0.03221363926484143,0.035294165731606646,0.04682667749978661,-0.00828048956619966,-0.00705224397749624,-0.014406363160431073,0.02074491808538339,0.05454688222694247,-0.028206644021205714,-0.0020067003768983755,0.07860808698883688,-0.04888113616060732,1.0,-0.012968541935452497
event,-0.12444110692993883,0.10844048898351626,0.03703867962357543,0.03528988156772299,0.015313626086479213,0.02964965357450826,0.030876542767555668,-0.02788711948932427,0.05411191673707331,0.011016773777248867,0.0006505477310295327,-0.005582205323802953,-0.007868324142230716,0.0723926834661237,0.04211509039896358,0.004689133632833622,0.014397031326063086,0.007925907969516607,0.014472471336775055,-0.022752825205813766,-0.018515934659576353,0.008359227308202216,-0.0037030477825622183,-0.006585335897192325,0.0334497624534418,0.030140808425847637,-0.02580172183767683,-0.0340687958200727,-0.021689461695069426,0.006115808295850564,-0.012968541935452497,1.0
