,age,state,edss-1,blood-1,blood-2,blood-3,thyroid-1,thyroid-2,thyroid-3,thyroid-4,thyroid-5,thyroid-6,thyroid-7,ana18-1,aqp4igg-1,vitd-1,vitd-2,t_b-1,t_b-2,t_b-3,t_b-4,t_b-5,t_b-6,t_b-7,t_b-8,t_b-9,t_b-10,ig3-1,ig3-2,ig3-3,il_6-1,interval,event
ana18-1,0.0770006580223605,-0.0010616145438713128,0.039372656642074136,-0.07638751521071106,-0.00865487232006846,-0.0747268781208936,-0.04316231655499525,-0.03460406979451983,0.020428942232308185,0.0589092139959856,0.04823434047799372,0.1287034809110414,0.14522226079774217,1.0,0.05795155188520696,-0.08364713784829714,-0.02319209941830797,-0.02339532895051574,0.05509870574050607,-0.20771753549929184,-0.13898541920612326,-0.10465183812224195,0.03478772139009732,-0.09748990957103211,-0.06835295385525336,0.058641717469710385,-0.03215832006459026,0.33018131031234055,0.23859801737792494,0.031455753162605696,0.08122514696631199,-0.09287259933585032,0.0723926834661235
aqp4igg-1,-0.06317001615497511,0.10116049922845119,0.1337041950775596,0.014638247417076278,-0.01490197614106229,0.01842735961744473,-0.06653408822188366,0.02931866418661292,-0.03837613973744298,0.04692058779173517,-0.01834262786731308,-0.0035664165661241673,0.0671263944092703,0.05795155188520696,1.0,-0.017290464193110863,-0.035367595867840815,0.013988851509624754,0.0886485519529398,-0.11250713937059281,-0.07611770917057513,-0.08638750655212396,-0.022922756889766187,-0.09050611187213714,-0.0686852519714254,0.01993818034825069,-0.04053616495358871,0.11259325555894192,0.07150270281928392,0.14165221164252223,-0.01519033601940628,-0.03968056448869104,0.07307044926285229
vitd-1,0.10224856031640822,-0.05972420575963155,-0.07474417940899529,-0.043496275751501674,-0.02265102309103372,-0.04736285339864853,0.24480590049020517,-0.01948582752069935,0.22728720045206804,0.0444132895150928,0.07411605450417745,-0.06601113484938521,-0.06932632557236479,-0.08364713784829714,-0.017290464193110863,1.0,0.12206683621492534,-0.07889801945877287,-0.0797281226854119,0.04655452685977351,0.06397224120726991,-0.0052978369312470285,0.0222586281777032,0.003953250070225765,-0.026670848024961245,-0.0037632280204500036,0.0467760003329083,-0.04912115551138595,-0.0683947985672883,-0.14448638792616728,-0.014625982351629045,0.06362683367550769,0.009302782830125754
vitd-2,-0.027069239339802022,-0.03303216402338747,-0.06267392837619004,0.016123760775143485,0.004983934395947377,0.02393377108252828,0.15224654374557225,-0.026703253885949244,0.18058219511412277,0.10975119227285053,-0.06635566648020416,-0.04008298836551883,-0.03531845790680101,-0.02319209941830797,-0.035367595867840815,0.12206683621492534,1.0,-0.060158247929754015,-0.05260457994806484,0.08001546620493108,0.10901155189273001,-0.052884525025652246,-0.0408404610086662,-0.03475721727857409,-0.06301388182587082,-0.03947155319755085,-0.01476053918124796,0.04640266529132142,-0.0004913836457469584,0.009638612170270512,-0.08267111271174218,-0.06508328735756236,0.016653779369892326
t_b-1,-0.12133549384363011,0.15183553439319245,0.10290202975064049,0.22764489566265503,0.30609808757083284,0.14844968806071482,-0.1280225131195274,0.260867127572255,-0.2922991027096138,-0.01548787343473356,0.024093146139209293,0.09323092013941321,0.10308759130992644,-0.02339532895051574,0.013988851509624754,-0.07889801945877287,-0.060158247929754015,1.0,0.8090378564651237,0.11440199328473417,-0.23710291811701006,0.5325389502906446,-0.3324077543097319,0.5645740528909448,0.34858704419805486,-0.33225413051051084,0.1128268759790167,-0.1172302986768163,0.07874409380137716,0.09174688486195381,0.0010384542281623012,0.0061062876696011004,0.007402001923118683
t_b-2,-0.06828184948048734,0.1989130118164283,0.08735502484921796,0.04978946897071972,0.018479271115534962,0.0491073474017309,-0.29398687562084697,0.17780404620566356,-0.3918760411007999,-0.021405076089944228,-0.07530763422229987,0.19303102615071832,0.187182920302488,0.05509870574050607,0.0886485519529398,-0.0797281226854119,-0.05260457994806484,0.8090378564651237,1.0,-0.1561173150891463,-0.2499265161268773,0.05450333059356095,-0.4542947359499882,0.14261746638308617,-0.0778901728150255,-0.3528092644905374,0.0232973982381157,-0.010277230047312909,0.08445895207865672,0.0842769483928326,-0.007731560987725644,-0.04045168886487203,0.005200467105744787
t_b-3,0.04681105241284146,-0.07297865246281637,-0.06638281399695352,0.16804988915199623,0.26024980543615134,0.09670366640976218,0.24228373565904537,0.06215470568192422,0.18519494600908953,0.05170023265394559,0.03456072224551142,-0.161245531566142,-0.09916114000060895,-0.20771753549929184,-0.11250713937059281,0.04655452685977351,0.08001546620493108,0.11440199328473417,-0.1561173150891463,1.0,0.8317226723399068,0.24271548689924527,-0.5506754909946405,0.20800264667312945,0.21990172790580104,-0.23699622986977903,-0.2321449390974609,-0.11147195811126787,-0.017952614082135294,-0.003755487792492228,-0.016852785417633437,-0.03241437687916462,0.011644966086090057
t_b-4,0.13443712724323417,-0.08424054169660329,-0.10278921254526086,0.007900436339077227,-0.005278039605782807,0.00928754849978481,0.16586935918439713,-0.06755398020165887,0.1958709182466025,0.05937833024124184,-0.06113613722890829,-0.11023969580312927,-0.07396019839370822,-0.13898541920612326,-0.07611770917057513,0.06397224120726991,0.10901155189273001,-0.23710291811701006,-0.2499265161268773,0.8317226723399068,1.0,-0.2636582989735809,-0.6230412450868247,-0.2618955166913986,-0.19906655729572123,-0.1751523102015,-0.37446752764871033,-0.017329849052623258,-0.03774008139079667,-0.032845271991519626,-0.010749306820196144,-0.07788895657590002,0.009322559314092914
t_b-5,-0.1614955655683366,-0.006435785902319026,0.06341893082850648,0.2919321193135117,0.494439755820611,0.15964726566934878,0.15113779839813649,0.19049167182332283,-0.010108511884527055,-0.027386819178579033,0.1606337149674906,-0.1048719433807779,-0.058345633128957186,-0.10465183812224195,-0.08638750655212396,-0.0052978369312470285,-0.052884525025652246,0.5325389502906446,0.05450333059356095,0.24271548689924527,-0.2636582989735809,1.0,0.23352570473152803,0.8801863928720495,0.8237344218191105,0.005074436738170034,0.25629230712756973,-0.19912587823904399,0.016870313636096385,0.04815588764809649,0.0036410264452977816,0.07320678330508522,0.01465068515255793
t_b-6,-0.07397126576570852,-0.13174974844030662,0.017845936621748288,-0.04190072847128207,0.011495282026358517,-0.04933983850596553,0.15624480438637944,-0.07512697912615157,0.21210902429896636,-0.023944910761819465,0.1423323716694526,-0.11601625121485273,-0.1628146777017744,0.03478772139009732,-0.022922756889766187,0.0222586281777032,-0.0408404610086662,-0.3324077543097319,-0.4542947359499882,-0.5506754909946405,-0.6230412450868247,0.23352570473152803,1.0,0.1665030441723693,0.2515037672089896,0.44273380994324296,0.38099891286556087,-0.03891076969885125,-0.055544378042646295,-0.05279710522161367,0.016346376313759042,0.08960612342711827,-0.020621661307526348
t_b-7,-0.08436796956291114,0.003340737958934513,0.08069738980126052,0.2677599486744105,0.4400725277430269,0.15218059207847454,0.12028103249744639,0.16188670846851375,-0.03578832578368933,-0.021820251475683224,0.13851232850134768,-0.019436947493811845,0.003889089067476427,-0.09748990957103211,-0.09050611187213714,0.003953250070225765,-0.03475721727857409,0.5645740528909448,0.14261746638308617,0.20800264667312945,-0.2618955166913986,0.8801863928720495,0.1665030441723693,1.0,0.5574502513132705,-0.3184618584417947,0.5545180239060942,-0.2132162046591079,0.03603770761466081,0.045371856688843755,0.008407132918277407,0.06219828852100951,0.0020314989336705017
t_b-8,-0.21471189277007552,-0.03358580085055322,0.04875153943141072,0.22545318887963656,0.40892907195290573,0.11489390752648937,0.178701985577616,0.16470484588619133,0.055084823957710305,-0.01896247299591018,0.17302083697835904,-0.14925289302182607,-0.08602751312608584,-0.06835295385525336,-0.0686852519714254,-0.026670848024961245,-0.06301388182587082,0.34858704419805486,-0.0778901728150255,0.21990172790580104,-0.19906655729572123,0.8237344218191105,0.2515037672089896,0.5574502513132705,1.0,0.45565618356143595,-0.14276465809293684,-0.1389198667774934,-0.020599279646367364,0.046647984522349355,-0.012981593982152803,0.054534966770458486,0.03214128171381023
t_b-9,-0.13819089595641704,-0.09624217545857748,-0.004422612682846715,-0.0684180674006667,-0.05182235380638707,-0.05964541391867137,0.08879635032395912,-0.07198206057431573,0.14555342405768731,-0.027590152768323932,0.12032108473340028,-0.14462094736136447,-0.12213367481504683,0.058641717469710385,0.01993818034825069,-0.0037632280204500036,-0.03947155319755085,-0.33225413051051084,-0.3528092644905374,-0.23699622986977903,-0.1751523102015,0.005074436738170034,0.44273380994324296,-0.3184618584417947,0.45565618356143595,1.0,-0.481168289682616,0.04378658689591961,-0.09013418857557302,-0.015428367939721518,0.005279332034042393,-0.010425698717380019,0.021612879811471714
t_b-10,0.08340575773183721,-0.022229109899129976,0.030155521646343747,0.038680267699754314,0.06774138189027558,0.02139177001568999,0.056454316922267975,0.025675330249027805,-0.005064121748780948,-0.021574959795647993,0.05465464630291545,0.05034165583816569,-0.0019993437940914226,-0.03215832006459026,-0.04053616495358871,0.0467760003329083,-0.01476053918124796,0.1128268759790167,0.0232973982381157,-0.2321449390974609,-0.37446752764871033,0.25629230712756973,0.38099891286556087,0.5545180239060942,-0.14276465809293684,-0.481168289682616,1.0,-0.11635060921071719,0.02131040324184657,-0.00547953774910779,0.029097765998206255,0.056002971394919845,-0.018181049425802506
ig3-1,-0.08321826272745693,0.029876950231955263,-0.1459173801478123,-0.10593387688797312,-0.13910040117791397,-0.07563571679440782,-0.08892823724529131,-0.16037521578543049,0.0841290601470027,0.0881336369890638,-0.0003843158107023232,0.1560342199809258,0.2492522361691518,0.33018131031234055,0.11259325555894192,-0.04912115551138595,0.04640266529132142,-0.1172302986768163,-0.010277230047312909,-0.11147195811126787,-0.017329849052623258,-0.19912587823904399,-0.03891076969885125,-0.2132162046591079,-0.1389198667774934,0.04378658689591961,-0.11635060921071719,1.0,0.4025582474849396,0.30365742607894436,-0.029800245066103702,0.04532176375909704,-0.019426527634922162
ig3-2,0.12958549996065988,0.07613695234560197,-0.005235080570426592,-0.028953002835938848,0.03097676875732044,-0.05122006093992495,-0.1129272722946486,-0.09427466191574875,0.025822396872589817,0.05798805809538861,-0.04537745458853969,0.060279823529463136,0.09679920779656698,0.23859801737792494,0.07150270281928392,-0.0683947985672883,-0.0004913836457469584,0.07874409380137716,0.08445895207865672,-0.017952614082135294,-0.03774008139079667,0.016870313636096385,-0.055544378042646295,0.03603770761466081,-0.020599279646367364,-0.09013418857557302,0.02131040324184657,0.4025582474849396,1.0,0.14183748462753387,0.09082553810091097,0.08243907936433509,-0.01585144551202281
ig3-3,-0.24772061678188664,0.061306158322238936,0.0029895881996957543,0.034399051981445515,0.005273904038479357,0.026150996013499534,-0.09978032914152436,-0.016906993436164718,-0.12456140010371328,-0.026001585507191987,-0.04786294003180192,0.15557630394817124,0.2373954899568539,0.031455753162605696,0.14165221164252223,-0.14448638792616728,0.009638612170270512,0.09174688486195381,0.0842769483928326,-0.003755487792492228,-0.032845271991519626,0.04815588764809649,-0.05279710522161367,0.045371856688843755,0.046647984522349355,-0.015428367939721518,-0.00547953774910779,0.30365742607894436,0.14183748462753387,1.0,-0.07200566290520023,-0.009058828755483918,0.014249131245078893
il_6-1,0.14609506379418336,-0.02229592515233742,0.0893977380579686,0.0857949650555537,-0.015911231689348104,0.10471025181730886,-0.02940633237108612,-0.06259967705724888,-0.002971975064537083,0.015450202361350262,0.1403754051335541,0.10537089219086794,0.016331697681053067,0.08122514696631199,-0.01519033601940628,-0.014625982351629045,-0.08267111271174218,0.0010384542281623012,-0.007731560987725644,-0.016852785417633437,-0.010749306820196144,0.0036410264452977816,0.016346376313759042,0.008407132918277407,-0.012981593982152803,0.005279332034042393,0.029097765998206255,-0.029800245066103702,0.09082553810091097,-0.07200566290520023,1.0,-0.0018560687656603043,-0.016896016176728708
interval,0.02081659234504488,-0.031224128468425517,-0.016803859868743266,0.06855313169101498,0.06417428596094026,0.05365329916775157,-0.0028483431378315046,0.015588962950390452,-0.08437284895883271,0.07740910256517139,-0.10838483380314784,0.10559069167901979,0.11802353127523821,-0.09287259933585032,-0.03968056448869104,0.06362683367550769,-0.06508328735756236,0.0061062876696011004,-0.04045168886487203,-0.03241437687916462,-0.07788895657590002,0.07320678330508522,0.08960612342711827,0.06219828852100951,0.054534966770458486,-0.010425698717380019,0.056002971394919845,0.04532176375909704,0.08243907936433509,-0.009058828755483918,-0.0018560687656603043,1.0,-0.8652455952102406
event,-0.11801433114998776,0.1084404889835163,0.05371206090242351,0.004490051930057798,0.006110626396935657,0.005286002342313684,0.02584336202022265,-0.015117790416921555,0.04311368656404065,0.021600986183721717,0.015822622512039603,0.0003390454959258529,-0.05463066150240711,0.0723926834661235,0.07307044926285229,0.009302782830125754,0.016653779369892326,0.007402001923118683,0.005200467105744787,0.011644966086090057,0.009322559314092914,0.01465068515255793,-0.020621661307526348,0.0020314989336705017,0.03214128171381023,0.021612879811471714,-0.018181049425802506,-0.019426527634922162,-0.01585144551202281,0.014249131245078893,-0.016896016176728708,-0.8652455952102406,1.0
